"created_on","provincia","partido","rooms","surface_total","surface_covered","price","currency","title","property_type","operation_type","lat","lon"
"202006","GBA","Tigre",3,90,85,140000,"USD","Super Oportunidad Departamento 3 ambientes El Reflejo Nordelta","Departamento","Venta",-34.3943316,-58.6505239
"202006","GBA","Tigre",3,95,75,249000,"USD","Venta 2 dorm planta baja con jardín y cochera cub. Portezuelo Nordelta. Tigre","Departamento","Venta",-34.4026444,-58.6544622
"202006","GBA","Tigre",3,130,75,210000,"USD","Depto. en venta en ANTARES 3 amb. con cochera y baulera - Nordelta USD 210.000","Departamento","Venta",-34.400569,-58.649407
"202006","GBA","Tigre",3,105,72,240000,"USD","Depto. en venta 3 amb planta baja con jardin REBAJADO  Portezuelo  Nordelta - Tigre","Departamento","Venta",-34.4026444,-58.6544622
"202006","GBA","Tigre",3,84,77,245000,"USD","VENTA Espectacular Departamento de 3 Ambientes con Cochera en  Miradores de la Bahia","Departamento","Venta",-34.395573,-58.6502182
"202006","GBA","Tigre",3,125,76,320000,"USD","Departamento en venta Marinas de Portezuelo, 3 amb. PB con Jardín USD 320.000.-","Departamento","Venta",-34.4040675,-58.6506282
"202006","GBA","Tigre",3,96,76,195000,"USD","DEPARTAMENTO 3 AMBIENTES EN VENTA EN PUERTO ESCONDIDO NORDELTA The Kiri - U$S195.000","Departamento","Venta",-34.3967647,-58.6476628
"202006","GBA","Tigre",3,228,96,290000,"USD","Departamento  3 ambientes en venta en  La Balconada, Barrio Castaños, Nordelta","Departamento","Venta",-34.3866361,-58.5571624
"202006","GBA","Tigre",3,201,105,349000,"USD","Departamento 3 amb. con terraza en venta en Edificio Vista Bahía  Nordelta","Departamento","Venta",-34.4189088,-58.5907519
"202006","GBA","Ezeiza",3,83,83,99000,"USD","IMPECABLE DEPARTAMENTO 3 AMB CON COCHERA EN BARRIO CERRADO BAMBU RELAX","Departamento","Venta",-34.8661927,-58.507008
"202006","CABA","Comuna 13",3,97,63,224560,"USD","Emprendimiento en Nuñez - Departamento 3 Amb. con Balcón + Patio","Departamento","Venta",-34.5479578,-58.4665217
"202006","CABA","Comuna 5",3,68,60,192000,"USD","Departamento de 3 ambientes en Venta en Almagro","Departamento","Venta",-34.6054973327,-58.4302755236
"202006","CABA","Comuna 5",3,80,75,205000,"USD","Departamento de 3 ambientes en Venta en Almagro","Departamento","Venta",-34.6018060771,-58.4308261623
"202006","CABA","Comuna 15",3,73,65,190000,"USD","Departamento de 3 ambientes en Venta en Almagro norte","Departamento","Venta",-34.6006963,-58.4298039
"202006","CABA","Comuna 5",3,85,57,166500,"USD","Departamento de 3 ambientes en Venta en Almagro","Departamento","Venta",-34.60273,-58.41435
"202006","CABA","Comuna 5",3,68,60,181000,"USD","Departamento de 3 ambientes en Venta en Almagro","Departamento","Venta",-34.6054973327,-58.4302755236
"202006","CABA","Comuna 5",3,68,60,188000,"USD","Departamento de 3 ambientes en Venta en Almagro","Departamento","Venta",-34.6054973327,-58.4302755236
"202006","CABA","Comuna 5",3,52,52,125000,"USD","Departamento de 3 ambientes en Venta en Almagro norte","Departamento","Venta",-34.6024282849,-58.4252948987
"202006","CABA","Comuna 14",3,70,60,220000,"USD","Departamento de 3 ambientes en Venta en Almagro","Departamento","Venta",-34.59769,-58.41937
"202006","CABA","Comuna 14",3,115,77,270000,"USD","Triplex con cohera en el corazón de palermo","Departamento","Venta",-34.584981942,-58.4245897807
